"Date","Account","Description","Check #","Category","Memo","Credit","Debit"
"02/13/2024","Associated Balanced Checking","Petco","","Household/","","","-9.99"
"02/13/2024","Associated Balanced Checking","Google","","Entertainment/","","","-14.76"
"02/13/2024","Associated Balanced Checking","FRONTE","","Dining/","","","-25.86"
"02/13/2024","Associated Balanced Checking","WEB TO DDA FR SAV  CONFIRMATION","","Savings & Investments/","","200.00",""
"02/13/2024","Associated Balanced Checking","BRANDT INFORMATI PAYROLL  TURCHIK  MARK JAMES","","Paycheck, Pensions & Annuity/","","2519.26",""
"02/12/2024","Associated Balanced Checking","DEPT EDUCATION","","Loans & Mortgages/","","","-75.00"
"02/12/2024","Associated Balanced Checking","Publix","","Groceries/","","","-76.43"
"02/12/2024","Associated Balanced Checking","Petco","","Household/","","","-68.50"
"02/12/2024","Associated Balanced Checking","Love's Travel Stops & Country","","Transportation/","","","-27.18"
"02/12/2024","Associated Balanced Checking","Buc-ee's","","Transportation/","","","-7.92"
"02/12/2024","Associated Balanced Checking","Chick-fil-A","","Dining/","","","-18.40"
"02/12/2024","Associated Balanced Checking","Culver's","","Dining/","","","-36.93"
"02/12/2024","Associated Balanced Checking","Love's Travel Stops & Country","","Transportation/","","","-32.70"
"02/12/2024","Associated Balanced Checking","ROYAL","","Dining/","","","-32.05"
"02/12/2024","Associated Balanced Checking","Meijer","","Groceries/","","","-73.03"
"02/12/2024","Associated Balanced Checking","MELGES CAR","","Transportation/","","","-18.00"
"02/12/2024","Associated Balanced Checking","Meijer","","Groceries/","","","-9.17"
"02/09/2024","Associated Balanced Checking","Steam","","Entertainment/","","","-21.32"
"02/09/2024","Associated Balanced Checking","Starbucks","","Dining/","","","-20.00"
"02/08/2024","Associated Balanced Checking","Kwik Trip","","Transportation/","","","-22.01"
"02/07/2024","Associated Balanced Checking","Verizon Fios","","Utilities/","","","-167.60"
"02/07/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-25.00"
"02/07/2024","Associated Balanced Checking","KOPPS ON","","Dining/","","","-36.02"
"02/07/2024","Associated Balanced Checking","DMV","","Taxes & Authorities/","","","-25.50"
